recipe_name,prep_time,cook_time,total_time,servings,yield,ingredients,directions,rating,url,cuisine_path,nutrition,timing,img_src
796,Watermelon Fish Snack for Kids,5 mins,,5 mins,1,1 serving,"1 small slice (0.5 oz) triangular slice of watermelon, 5  fresh blueberries, 1  small triangular slice of papaya","Place watermelon triangle on a plate with the pointed side facing to the left. Place 1 blueberry into the triangle for the fish eye. Place the other 4 blueberries above the fish's mouth as if they are bubbles coming up.
Cut off a tiny curved sliver of papaya for the mouth. Flip the papaya triangle over and place at the end of the fish as the tail fin.",5.0,https://www.allrecipes.com/recipe/271094/watermelon-fish-snack-for-kids/,/Everyday Cooking/Vegan/Desserts/,"Total Fat 0g 0%, Saturated Fat 0g 1%, Sodium 5mg 0%, Total Carbohydrate 16g 6%, Dietary Fiber 3g 10%, Total Sugars 10g, Protein 1g, Vitamin C 91mg 457%, Calcium 36mg 3%, Iron 0mg 1%, Potassium 394mg 8%","Prep Time: 5 mins, Total Time: 5 mins, Servings: 1, Yield: 1 serving",https://www.allrecipes.com/thmb/pWdkn0S6ZFZGmTs71z_OUKQlfvo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6443776-1369ff68018640deace2a4862fd93413.jpg
803,Chocolate Avocado Pudding,10 mins,,40 mins,4,,"2 large avocados - peeled, pitted, and cubed, ½ cup unsweetened cocoa powder, ½ cup brown sugar, ⅓ cup coconut milk, 2 teaspoons vanilla extract, 1 pinch ground cinnamon","Blend avocados, cocoa powder, brown sugar, coconut milk, vanilla, and cinnamon in a blender until smooth. Transfer pudding to a container with a lid, then refrigerate until chilled, about 30 minutes.",4.3,https://www.allrecipes.com/recipe/234324/chocolate-avocado-pudding/,/Desserts/Custards and Puddings/Chocolate Pudding Recipes/,"Total Fat 26g 34%, Saturated Fat 7g 37%, Sodium 23mg 1%, Total Carbohydrate 46g 17%, Dietary Fiber 13g 48%, Total Sugars 28g, Protein 5g, Vitamin C 14mg 72%, Calcium 60mg 5%, Iron 3mg 17%, Potassium 935mg 20%","Prep Time: 10 mins, Additional Time: 30 mins, Total Time: 40 mins, Servings: 4",https://www.allrecipes.com/thmb/IM56aJLxzfgJ3gMH1ApDc4WgHLc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5144775-f29a14325662460a8167a0f086cf2238.jpg
852,Avocado Dessert,20 mins,20 mins,40 mins,4,4 servings,"1  avocado, peeled and pitted, ½ cup milk, ¼ cup white sugar, ½ teaspoon vanilla extract","Mash avocado with an electric mixer, or use a food processor. Blend in the milk, sugar and vanilla until smooth. Chill for about 20 minutes before serving.",4.1,https://www.allrecipes.com/recipe/80784/avocado-dessert/,/Desserts/Custards and Puddings/,"Total Fat 8g 10%, Saturated Fat 2g 8%, Cholesterol 2mg 1%, Sodium 16mg 1%, Total Carbohydrate 18g 7%, Dietary Fiber 3g 12%, Total Sugars 14g, Protein 2g, Vitamin C 5mg 26%, Calcium 42mg 3%, Iron 0mg 2%, Potassium 291mg 6%","Prep Time: 20 mins, Cook Time: 20 mins, Total Time: 40 mins, Servings: 4, Yield: 4 servings",https://www.allrecipes.com/thmb/w4d8xF9BQ9Kc4JhkZeT-Mcf89pE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7673551-8e0b87ffc5754fb887b70dd8e953f4a2.jpg
857,Apricot Pie,25 mins,35 mins,2 hrs,8,1 9-inch pie,"2 ½ cups all-purpose flour, 1 teaspoon salt, 1 cup butter-flavored shortening, 6 tablespoons water, or as needed, 1 cup white sugar, ¼ cup all-purpose flour, ¼ teaspoon ground cinnamon, 1 teaspoon lemon juice, 5 cups fresh apricots, pitted and quartered , 1 teaspoon sugar for sprinkling, or as desired","Preheat oven to 425 degrees F (220 degrees C).
Mix 2 1/2 cups of flour and the salt in a bowl; cut the shortening into the flour mixture with a pastry cutter until the mixture is crumbly. Using a fork, mix in water, 1 tablespoon at a time, until the dough just holds together. Divide the dough in half and form each half into a ball. Working on a floured work surface, roll each ball out into a crust big enough for a 9-inch pie dish with an inch or so to spare. Carefully lift a crust, fold into quarters, position into pie dish, and unfold the crust. Set the other crust aside.
Mix the sugar, 1/4 cup flour, and cinnamon together in a large bowl until thoroughly combined; stir in the lemon juice and apricots. Spoon the apricot filling over the pie crust in the dish, and top with the reserved crust. Crimp the edges of the crusts together with a fork, cut away the excess crust, and cut slits into the pie to allow steam to escape. Cover the edges of the pie crust with strips of aluminum foil to prevent burning.
Bake on center rack of the preheated oven until the pie is browned and the filling is bubbling and thickened, 35 to 45 minutes. Remove to a rack to cool and sprinkle top with 1 teaspoon of sugar.",4.6,https://www.allrecipes.com/recipe/214747/apricot-pie/,/Desserts/Pies/Fruit Pies/,"Total Fat 28g 35%, Saturated Fat 7g 34%, Sodium 293mg 13%, Total Carbohydrate 70g 25%, Dietary Fiber 3g 11%, Total Sugars 35g, Protein 6g, Vitamin C 11mg 53%, Calcium 21mg 2%, Iron 2mg 13%, Potassium 315mg 7%","Prep Time: 25 mins, Cook Time: 35 mins, Additional Time: 1 hrs, Total Time: 2 hrs, Servings: 8, Yield: 1 9-inch pie",https://www.allrecipes.com/thmb/t4qDFbRKAI0V8ixOCWOtr7L9ARg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2352346-3a6a16871e2940e1916422256dbbb31d.jpg
859,Fresh Apricot Cobbler,20 mins,40 mins,1 hrs,12,12 servings,"1 cup water, ¾ cup white sugar, 1 tablespoon cornstarch, ¼ teaspoon ground cinnamon, ⅛ teaspoon ground nutmeg, 6 cups halved fresh apricots, 1 tablespoon butter","Preheat oven to 400 degrees F (200 degrees C).
Bring water, 3/4 cup sugar, cornstarch, cinnamon, and nutmeg to a boil; stir until thickened, about 1 minutes. Reduce heat to medium and add apricots and 1 tablespoon butter. Simmer until heated through, about 5 minutes. Transfer mixture to a 9x13-inch baking dish.
Combine flour, 1/4 cup sugar, baking powder, and salt in a large bowl. Cut 7 tablespoons butter into flour mixture until mixture resembles a coarse crumb. Stir milk into crumbles until topping is just moistened. Spoon topping over apricot mixture. Sprinkle remaining 2 tablespoons sugar over topping.
Bake in the preheated oven until golden brown, 30 to 35 minutes.",4.6,https://www.allrecipes.com/recipe/233090/fresh-apricot-cobbler/,/Desserts/Cobblers/,"Total Fat 9g 11%, Saturated Fat 5g 27%, Cholesterol 23mg 8%, Sodium 385mg 17%, Total Carbohydrate 46g 17%, Dietary Fiber 2g 8%, Total Sugars 27g, Protein 4g, Vitamin C 8mg 39%, Calcium 120mg 9%, Iron 1mg 8%, Potassium 272mg 6%","Prep Time: 20 mins, Cook Time: 40 mins, Total Time: 1 hrs, Servings: 12, Yield: 12 servings",https://www.allrecipes.com/thmb/yvHWgX8HcKlszEl6GwTnb0WvOoE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3889403-f9330da978924e98bf898e3a24285dfc.jpg
864,Apricot Cream Cheese Thumbprints,15 mins,15 mins,2 hrs 30 mins,84,7 dozen,"1 ½ cups butter, softened, 1 ½ cups white sugar, 1 (8 ounce) package cream cheese, softened, 2  eggs, 2 tablespoons lemon juice, 1 ½ teaspoons lemon zest, 4 ½ cups all-purpose flour, 1 ½ teaspoons baking powder, 1 cup apricot preserves, ⅓ cup confectioners' sugar for decoration","In a large bowl, cream together the butter, sugar, and cream cheese until smooth. Beat in the eggs one at a time, then stir in the lemon juice and lemon zest. Combine the flour and baking powder; stir into the cream cheese mixture until just combined. Cover, and chill until firm, about 1 hour.
Preheat oven to 350 degrees F (175 degrees C). Roll tablespoonfuls of dough into balls, and place them 2 inches apart on ungreased cookie sheets. Using your finger, make an indention in the center of each ball, and fill with 1/2 teaspoon of apricot preserves.
Bake for 15 minutes in the preheated oven, or until edges are golden. Allow cookies to cool on the baking sheets for 2 minutes before removing to wire racks to cool completely. Sprinkle with confectioner's sugar.",4.4,https://www.allrecipes.com/recipe/10201/apricot-cream-cheese-thumbprints/,/Desserts/Cookies/Thumbprint Cookie Recipes/,"Total Fat 4g 6%, Saturated Fat 3g 14%, Cholesterol 16mg 5%, Sodium 43mg 2%, Total Carbohydrate 12g 4%, Dietary Fiber 0g 1%, Total Sugars 6g, Protein 1g, Vitamin C 1mg 3%, Calcium 10mg 1%, Iron 0mg 2%, Potassium 16mg 0%","Prep Time: 15 mins, Cook Time: 15 mins, Additional Time: 2 hrs, Total Time: 2 hrs 30 mins, Servings: 84, Yield: 7 dozen",https://www.allrecipes.com/thmb/ZgQ9XtT6A5lScuNQnz9Ueio6U04=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4533042-d25916f6c78847db97837081865961de.jpg
866,Dried Apricot Pie,30 mins,1 hrs,1 hrs 30 mins,8,1 pie,"18 ounces dried apricots, 1 ¾ cups water, 1 tablespoon cornstarch, 1 tablespoon orange liqueur , 1 ¾ cups white sugar, 1 recipe pastry for a 9 inch double crust pie","Preheat oven to 400 degrees F (205 degrees C).
Slice the dried apricots in half. Rinse them with water. Place them in a sauce pan with the water, bring to a boil and cook for 5 minutes.
Combine the cornstarch with the orange liqueur and about 1 tablespoon of the apricots' cooking liquid. Mix until smooth then stir into the cooked apricots. Add the white sugar and combine. Pour mixture into the unbaked pie shell and seal with the top crust. Brush milk over top crust for color, if desired.
Bake at 400 degrees F (205 degrees C) for 1 hour.",3.5,https://www.allrecipes.com/recipe/12524/dried-apricot-pie/,/Desserts/Pies/Fruit Pies/,"Total Fat 15g 20%, Saturated Fat 4g 19%, Sodium 240mg 10%, Total Carbohydrate 105g 38%, Dietary Fiber 6g 23%, Total Sugars 78g, Protein 5g, Vitamin C 1mg 3%, Calcium 40mg 3%, Iron 3mg 16%, Potassium 762mg 16%","Prep Time: 30 mins, Cook Time: 1 hrs, Total Time: 1 hrs 30 mins, Servings: 8, Yield: 1 pie",https://www.allrecipes.com/thmb/R84NQDtwLwM_A25kI8PUp9srYA0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/19404-366840b99221462e9f343a85a54e0b56.jpg
873,Fresh Apricot Crisp,15 mins,35 mins,50 mins,6,,"4 cups apricot halves, ¼ cup white sugar, ¾ cup brown sugar, ½ cup all-purpose flour, ½ cup butter, ¾ cup rolled oats","Preheat the oven to 350 degrees F (175 degrees C).
Arrange apricots in a 9x12-inch baking dish and sprinkle with white sugar.
Mix together brown sugar and flour in a bowl; cut in butter with a pastry cutter until mixture resembles coarse crumbs. Lightly stir in rolled oats and spoon mixture over apricots.
Bake in the preheated oven until fruit is soft and topping is browned and crisp, 35 to 40 minutes.",4.1,https://www.allrecipes.com/recipe/215112/fresh-apricot-crisp/,/Desserts/Crisps and Crumbles Recipes/,"Total Fat 17g 21%, Saturated Fat 10g 50%, Cholesterol 41mg 14%, Sodium 116mg 5%, Total Carbohydrate 52g 19%, Dietary Fiber 3g 12%, Total Sugars 36g, Protein 4g, Vitamin C 10mg 52%, Calcium 40mg 3%, Iron 1mg 8%, Potassium 344mg 7%","Prep Time: 15 mins, Cook Time: 35 mins, Total Time: 50 mins, Servings: 6",https://www.allrecipes.com/thmb/Jv2Yt3_-b-Tv2wpPrCGtl2SNghE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4527327-5a253aac95e34e12b421ba0c58388f7f.jpg
877,Apricot Cookies,,,,24,4 dozen,"1 cup butter, 1 cup white sugar, 3 cups all-purpose flour, 1 teaspoon baking powder, ½ teaspoon salt, 1  egg, 1 teaspoon vanilla extract, 1 cup apricot preserves, ⅓ cup confectioners' sugar for decoration","Preheat oven to 350 degrees F (175 degrees C).
Cream the butter and sugar in a medium size mixing bowl. Mix flour, baking powder, salt, egg and vanilla extract into the butter-sugar mixture. Cool dough in the refrigerator for 1 hour.
On a lightly floured surface roll dough out to 1/4 inch thick. Cut the dough into rounds with a round cookie cutter or glass. Using the tip of a teaspoon place a small drop of apricot preserves into the middle of the circle. Brush edges with water and fold the dough over so that the cookie is in the shape of a half moon; seal edges Arrange on ungreased cookie sheets.
Bake for 8 to 12 minutes, or until golden brown. Dust the cookies with powdered sugar while still hot.",4.1,https://www.allrecipes.com/recipe/11408/apricot-cookies/,/Desserts/Cookies/Fruit Cookie Recipes/Apricot/,"Total Fat 8g 10%, Saturated Fat 5g 25%, Cholesterol 28mg 9%, Sodium 127mg 6%, Total Carbohydrate 31g 11%, Dietary Fiber 0g 1%, Total Sugars 19g, Protein 2g, Calcium 17mg 1%, Iron 1mg 4%, Potassium 22mg 0%","Servings: 24, Yield: 4 dozen",https://www.allrecipes.com/thmb/Er3Wa9NKiqpUcaSLxDLuI13K-is=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1830252-3c72346e395140908241edbbe89e6138.jpg
878,Apricot Danish Coffee Cake,20 mins,30 mins,50 mins,15,1 10x15 inch jellyroll pan,"1 (18.25 ounce) package white cake mix, 3  eggs, 1 ½ cups sour cream, 1 (15 ounce) can apricot halves, drained, 1 tablespoon butter, ½ cup slivered almonds, 1 (8 ounce) package cream cheese, 2 tablespoons milk, ⅔ cup confectioners' sugar, 2 teaspoons water","Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 10x15 inch jellyroll pan. Set aside 1/2 cup of the dry cake mix.
In a medium bowl, mix together eggs and sour cream. Stir in the package of cake mix. Batter will be lumpy. Spread batter into the prepared pan. Using the back of a spoon, make 15 wells in the batter, 3 rows of 5. In another bowl, beat together the cream cheese and milk until fluffy. Place one tablespoon of the cream cheese mixture into each well. Place 1 apricot half, cut side up, onto each blob of cream cheese.
In a small bowl, combine the 1/2 cup of reserved cake mix with the butter. stir in the butter until the mixture is crumbly. Stir in the slivered almonds, and sprinkle the mixture evenly over the Danish.
Bake for 30 to 35 minutes in the preheated oven, or until a toothpick inserted into the cake comes out clean. To make the glaze, stir together the confectioners' sugar and water until smooth, adding another teaspoon of water if necessary. Drizzle over the Danish when cool.",4.5,https://www.allrecipes.com/recipe/17478/apricot-danish-coffee-cake/,/Desserts/Cakes/Cake Mix Cake Recipes/Coffee Cake/,"Total Fat 17g 22%, Saturated Fat 8g 39%, Cholesterol 66mg 22%, Sodium 303mg 13%, Total Carbohydrate 40g 15%, Dietary Fiber 1g 4%, Total Sugars 30g, Protein 6g, Vitamin C 1mg 6%, Calcium 121mg 9%, Iron 1mg 6%, Potassium 170mg 4%","Prep Time: 20 mins, Cook Time: 30 mins, Total Time: 50 mins, Servings: 15, Yield: 1 10x15 inch jellyroll pan",https://www.allrecipes.com/thmb/lxmdU45YsVbX32iqFZGz9UNzpcw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1504477-6ec0211b4d58441286b74a3f3f680ac9.jpg
882,Apricot Brandy Pound Cake III,30 mins,1 hrs,1 hrs 30 mins,15,1 to 10 - inch tube pan,"3 cups sifted all-purpose flour, ¼ teaspoon baking soda, ½ teaspoon salt, 1 cup sour cream, ½ teaspoon rum flavored extract, 1 teaspoon orange extract, ¼ teaspoon almond extract, ½ teaspoon lemon extract, 1 teaspoon vanilla extract, ½ cup apricot brandy, 1 cup butter, 3 cups white sugar, 6  eggs","Preheat oven to 325 degrees F (165 degrees C). Grease and flour a 10 inch tube pan. Mix together the flour, baking soda and salt. Set aside.
Combine the sour cream, rum flavoring, orange extract, almond extract, lemon extract, vanilla extract and apricot brandy. Set aside. In a large bowl, cream together the butter and sugar until light and fluffy. Beat in the eggs one at a time. Beat in the flour mixture alternately with the sour cream and flavorings mixture, stirring just until incorporated.
Pour batter into prepared pan. Bake in the preheated oven for 60 minutes, or until a toothpick inserted into the center of the cake comes out clean. Allow to cool.",4.9,https://www.allrecipes.com/recipe/23732/apricot-brandy-pound-cake-iii/,/Desserts/Specialty Dessert Recipes/Liqueur Dessert Recipes/,"Total Fat 18g 23%, Saturated Fat 10g 52%, Cholesterol 114mg 38%, Sodium 222mg 10%, Total Carbohydrate 60g 22%, Dietary Fiber 1g 3%, Total Sugars 40g, Protein 6g, Vitamin C 0mg 1%, Calcium 36mg 3%, Iron 2mg 8%, Potassium 81mg 2%","Prep Time: 30 mins, Cook Time: 1 hrs, Total Time: 1 hrs 30 mins, Servings: 15, Yield: 1 to 10 - inch tube pan",https://www.allrecipes.com/thmb/Tjuu37VZX-4J9zHCrnQlkVzSwJw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1919016-41edb224a05045c7bd83b722d9608aeb.jpg
884,Apricot Nectar Cake II,,,,12,1 -10 inch Bundt or tube pan,"1 (18.25 ounce) package yellow cake mix, 4  eggs, ¾ cup vegetable oil, ¾ cup apricot nectar, ⅓ cup hot water, 2 cups confectioners' sugar, 6 tablespoons lemon juice, 1 (3 ounce) package lemon flavored Jell-O® mix","Preheat oven to 350 degrees F (175 degrees C). Grease one 10 inch tube or Bundt pan.
Mix the cake mix, eggs, vegetable oil, and apricot nectar together.
Dissolve the gelatin in the hot water and add to cake batter. Mix well and pour the batter into the prepared pan.
Bake at 350 degrees F (175 degrees C) for 45 to 60 minutes. Invert cake onto a plate and cool for several minutes. Pour glaze over cake while it is still warm.
To Make Glaze: Combine the confectioner's sugar and the lemon juice. Use immediately to pour over still warm cake.",4.1,https://www.allrecipes.com/recipe/7840/apricot-nectar-cake-ii/,/Desserts/Cakes/Cake Mix Cake Recipes/Yellow Cake/,"Total Fat 20g 26%, Saturated Fat 3g 16%, Cholesterol 63mg 21%, Sodium 346mg 15%, Total Carbohydrate 63g 23%, Dietary Fiber 1g 2%, Total Sugars 47g, Protein 5g, Vitamin C 4mg 18%, Calcium 69mg 5%, Iron 1mg 6%, Potassium 85mg 2%","Servings: 12, Yield: 1 -10 inch Bundt or tube pan",https://www.allrecipes.com/thmb/lHThzOahYQAeoDeAlj7qvOwO4hY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3111418-7ae8dd5cdf0e4784afc7c129c02e9463.jpg
889,Apricot Cheesecake,40 mins,1 hrs 8 mins,8 hrs 48 mins,12,12 servings,"1 ⅓ cups almond flour, 3 tablespoons brown sugar, 2 tablespoons sliced almonds, chopped, 2 tablespoons butter, melted","Preheat oven to 350 degrees F (175 degrees C). Line a 9-inch springform pan with parchment paper.
Combine almond flour, brown sugar, and almonds in a bowl. Add melted butter; stir with a fork until the mixture resembles wet sand. Spread on the bottom of the parchment-lined pan.
Combine apricots and water in a saucepan; bring to a boil and simmer until very soft, about 10 minutes. Drain; mash apricots into a pulp. Add amaretto; mix well. Sweeten with 1 teaspoon white sugar.
Beat cream cheese, 3/4 cup white sugar, 1/2 cup sour cream, cornstarch, and 1 1/2 teaspoons vanilla extract in a bowl using an electric mixer on low speed. Add eggs one at a time; mix well. Fold in 2 tablespoons of apricot pulp; reserve remainder for topping. Pour cheesecake batter into the pan, covering the crust.
Bake in the preheated oven until edges are puffed and surface of cheesecake is firm except for a small spot in the center that will jiggle when the pan is gently shaken, about 45 minutes.
Beat 1 1/2 cups sour cream, 3 tablespoons white sugar, and 1 teaspoon vanilla extract together until combined. Remove cheesecake from the hot oven; spoon topping over the surface and return cake to the oven for 8 minutes more.
Cool to room temperature, about 1 hour. Refrigerate for 6 to 8 hours. Top with remaining apricot pulp.",5.0,https://www.allrecipes.com/recipe/239539/apricot-cheesecake/,/Desserts/Cakes/Cheesecake Recipes/,"Total Fat 38g 49%, Saturated Fat 20g 98%, Cholesterol 130mg 43%, Sodium 221mg 10%, Total Carbohydrate 40g 15%, Dietary Fiber 3g 10%, Total Sugars 31g, Protein 11g, Vitamin C 1mg 3%, Calcium 113mg 9%, Iron 2mg 8%, Potassium 369mg 8%","Prep Time: 40 mins, Cook Time: 1 hrs 8 mins, Additional Time: 7 hrs, Total Time: 8 hrs 48 mins, Servings: 12, Yield: 12 servings",https://www.allrecipes.com/thmb/hGknfmqfD_tIsLQCy7lzth81vsk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5198951-df02f6ceb62b42beb38701cf7464fa6c.jpg
891,Great-Grandmother Bubbie's Hamantaschen,20 mins,30 mins,2 hrs 50 mins,36,3 dozen,"2 cups pitted prunes, cooked, drained and mashed, 2 cups dried apricots, cooked drained and mashed, 3  eggs, 1 cup white sugar, ½ cup safflower oil, 1  lemon, zested, 1  orange, zested, 4 cups unbleached all-purpose flour, 2 teaspoons baking powder, 1 tablespoon lemon juice, ½ cup chopped walnuts, ⅓ cup white sugar, or to taste","Place prunes and apricots into a large pot filled with water and bring to a rolling boil over high heat. Cook the fruit uncovered, stirring occasionally, until the fruit is tender, about 15 minutes. Drain fruit in a colander and mash together in a bowl using a fork. Set aside.
Preheat an oven to 350 degrees F (175 degrees C).
Whisk eggs, 1 cup sugar, oil, lemon zest, and orange zest together in a bowl and set aside. Sift flour and baking powder together in a large bowl. Stir in the egg mixture, kneading with hands until the dough comes together. Roll out dough to about 1/4 inch in thickness on a lightly floured surface. Cut circles out using a cookie cutter or the rim of a drinking glass.
Mix prune and apricot mixture, lemon juice, walnuts, and 1/3 cup sugar in a bowl. Place a tablespoon of the filling in the center of the cookie. Pinch the edges firmly together to create a triangle, leaving the center open to expose the filling. Repeat with the remaining cookies.
Bake in the preheated oven until golden brown, about 20 minutes. Cool in the pans for 10 minutes before removing to cool completely on a wire rack.",4.5,https://www.allrecipes.com/recipe/191359/great-grandmother-bubbies-hamantaschen/,/Desserts/Cookies/Fruit Cookie Recipes/Apricot/,"Total Fat 5g 6%, Saturated Fat 0g 2%, Cholesterol 16mg 5%, Sodium 34mg 1%, Total Carbohydrate 29g 11%, Dietary Fiber 2g 6%, Total Sugars 15g, Protein 3g, Vitamin C 1mg 5%, Calcium 30mg 2%, Iron 1mg 7%, Potassium 183mg 4%","Prep Time: 20 mins, Cook Time: 30 mins, Additional Time: 2 hrs, Total Time: 2 hrs 50 mins, Servings: 36, Yield: 3 dozen",https://www.allrecipes.com/thmb/W9JPsMx6sy2qIRUiCCvETtsevCc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2121650-55e6ea68bdaa43d0be9f56b168bbf4a2.jpg
903,Apricot Brandy and Peach Schnapps Pound Cake,40 mins,1 hrs 15 mins,1 hrs 55 mins,12,12 servings,"3 cups white sugar, 1 cup butter, softened, 6  eggs, beaten, 3 cups all-purpose flour, ¼ teaspoon baking soda, ½ teaspoon salt, 1 cup sour cream, ¼ cup apricot brandy, 1 teaspoon lemon zest, 1 cup white sugar, ½ cup peach schnapps, 1 cup water, 1 teaspoon lemon zest, 1 cup apricot preserves, ½ cup apricot brandy, 1 teaspoon lemon zest, ½ cup almonds","Butter and flour one angle food tube cake pan. Preheat oven to 325 degrees F (175 degrees C).
In a mixing bowl, cream together butter and sugar for 5 minutes. Add eggs one at a time. Beat well. Sift flour with soda and salt; add sour cream and brandy ending with flour. Bake for 1 hour 15 minutes.
Prepare the syrup in a sauce pan by combining the sugar, peach flavored liqueur, water and lemon zest. Boil for 1 minute.
Turn cake out onto plate and punch holes in bottom of cake with ice pick or something similar. Slowly pour all of syrup into holes until cake is penetrated and syrup is absorbed. Immediately turn cake right side up onto serving plate.
Prepare the topping/glaze by combining the apricot preserves, apricot brandy and lemon zest in a sauce pan and boiling for 1 minute. Drizzle over top of cake. Place sliced almonds on top of glaze along with a little lemon zest if desired.
Serve the cake with sliced fresh peaches and coat with 1/2 cup citrus juice. Add one basket blueberries and mix together. Pour 1/2 cup peach flavored liqueur and 1/2 cup simple syrup over fruit. (simple syrup made from 1/2 cup sugar boiled in 1 cup water for 1 minute and cooled)",5.0,https://www.allrecipes.com/recipe/13699/apricot-brandy-and-peach-schnapps-pound-cake/,/Desserts/Cakes/Pound Cake Recipes/,"Total Fat 25g 32%, Saturated Fat 13g 67%, Cholesterol 142mg 47%, Sodium 289mg 13%, Total Carbohydrate 114g 42%, Dietary Fiber 2g 6%, Total Sugars 83g, Protein 9g, Vitamin C 3mg 16%, Calcium 66mg 5%, Iron 2mg 13%, Potassium 167mg 4%","Prep Time: 40 mins, Cook Time: 1 hrs 15 mins, Total Time: 1 hrs 55 mins, Servings: 12, Yield: 12 servings",https://www.allrecipes.com/thmb/SnGGcWkq7Wwm_uHe5oBJ9PwkWL4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5877385-6097ec811d1943cc94a40eb98e036d5f.jpg
908,Espresso Biscotti,25 mins,1 hrs,1 hrs 25 mins,24,24 biscotti,"¼ cup unsalted butter, ¾ cup white sugar, 3  eggs, 1 teaspoon vanilla extract, 3 ¼ cups pastry flour, 1 teaspoon ground cinnamon, 1 teaspoon baking powder, 1 teaspoon instant espresso powder, 2 teaspoons grated orange zest, ½ cup chocolate chips, ½ cup dried apricots, ½ cup dried cranberries, ½ cup slivered almonds, 1  egg white, lightly beaten","Preheat oven to 350 degrees F (175 degrees C). Grease a cookie sheet or line it with parchment paper.
Cream together butter and sugar in a bowl until light and fluffy. Beat in eggs and vanilla.
Sift together the flour, cinnamon, and baking powder in a separate bowl. Mix dry ingredients into the egg mixture. Stir in the espresso powder, orange zest, chocolate chips, dried apricots, dried cranberries and almonds.
Shape dough into two equal logs approximately 12 inches long by 2 inches diameter. Place logs on baking sheet, and flatten out to about 1 inch thickness. Brush the log with egg wash.
Bake in the preheated oven until edges are golden and the center is firm, about 35 to 40 minutes. Remove from oven to cool on the pans. When loaves are cool enough to handle, use a serrated knife to slice the loaves diagonally into 1/2 inch thick slices. Return the slices to the baking sheet.
Reduce oven temperature to 325 degrees F (165 degrees C). Bake until they start turning light brown, 15 to 20 minutes. Cool completely, and store in an airtight container at room temperature.",4.2,https://www.allrecipes.com/recipe/152952/espresso-biscotti/,/Desserts/Cookies/Fruit Cookie Recipes/Cranberry/,"Total Fat 5g 6%, Saturated Fat 2g 11%, Cholesterol 28mg 9%, Sodium 33mg 1%, Total Carbohydrate 25g 9%, Dietary Fiber 3g 11%, Total Sugars 11g, Protein 3g, Vitamin C 0mg 2%, Calcium 25mg 2%, Iron 1mg 7%, Potassium 143mg 3%","Prep Time: 25 mins, Cook Time: 1 hrs, Total Time: 1 hrs 25 mins, Servings: 24, Yield: 24 biscotti",https://www.allrecipes.com/thmb/gsVgRcYiMKA1HmBB1EWQT589FDQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1823218-78353858e475443dba48e0815eec3242.jpg
909,Apricot Balls,15 mins,,15 mins,12,12 servings,"½ pound dried apricots, ½ cup brown sugar, ½ cup flaked coconut, ½ (14 ounce) can sweetened condensed milk, 1 cup flaked coconut for rolling",Mince apricots in a food processor. Place in a bowl and toss with brown sugar. Stir in 1/2 cup coconut and condensed milk. Shape into 1 inch balls and roll in coconut. Keep refrigerated.,3.9,https://www.allrecipes.com/recipe/25647/apricot-balls/,/Desserts/Cookies/No-Bake Cookie Recipes/,"Total Fat 9g 12%, Saturated Fat 8g 38%, Cholesterol 6mg 2%, Sodium 30mg 1%, Total Carbohydrate 33g 12%, Dietary Fiber 3g 12%, Total Sugars 29g, Protein 3g, Vitamin C 1mg 4%, Calcium 67mg 5%, Iron 1mg 6%, Potassium 356mg 8%","Prep Time: 15 mins, Total Time: 15 mins, Servings: 12, Yield: 12 servings",https://www.allrecipes.com/thmb/KYt9s0KDbqcWGrECqhsl8gTCKzI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4602520-1949ffddbba54bb68d97176986d66288.jpg
